epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.88077,4.11156,11.1595,1.70011,0,0,0,0,nan,nan,nan,0.002,0.002,0.002
2,15.445,3.60067,4.1703,1.3469,0,0,0,0,nan,nan,nan,0.00405941,0.00405941,0.00405941
3,21.7587,3.49532,3.71862,1.25858,0,0,0,0,nan,nan,nan,0.00607724,0.00607724,0.00607724
4,27.8288,3.33093,3.30682,1.24025,0,0,0,0,nan,nan,nan,0.00805349,0.00805349,0.00805349
5,33.725,3.16462,3.12654,1.18012,0,0,0,0,nan,nan,nan,0.009604,0.009604,0.009604
6,39.9269,3.02001,2.98449,1.11916,0,0,0,0,nan,nan,nan,0.009505,0.009505,0.009505
7,47.7807,2.91137,2.71685,1.12143,0.21062,0.05169,0.032,0.00938,nan,nan,nan,0.009406,0.009406,0.009406
8,54.08,2.86268,2.52856,1.12504,0.17292,0.26152,0.13172,0.04034,nan,nan,nan,0.009307,0.009307,0.009307
9,60.2314,2.67887,2.35244,1.07044,0.25212,0.21692,0.15802,0.05107,nan,nan,nan,0.009208,0.009208,0.009208
10,66.313,2.74713,2.31705,1.08766,0.51532,0.21058,0.23441,0.08447,nan,nan,nan,0.009109,0.009109,0.009109
11,72.4481,2.63361,2.18354,1.08545,0.66384,0.20881,0.19499,0.06397,nan,nan,nan,0.00901,0.00901,0.00901
12,78.7059,2.67419,2.18936,1.07377,0.76075,0.2596,0.28503,0.11322,nan,nan,nan,0.008911,0.008911,0.008911
13,87.6969,2.66531,2.13903,1.07748,0.84684,0.28028,0.39753,0.15348,2.34629,2.95393,1.04606,0.008812,0.008812,0.008812
14,97.4689,2.54301,2.03568,1.05583,0.73104,0.28505,0.40214,0.14771,2.36462,3.94464,1.0537,0.008713,0.008713,0.008713
15,106.969,2.54483,1.91702,1.04726,0.92221,0.28486,0.48042,0.17419,2.30957,2.2046,1.04533,0.008614,0.008614,0.008614
16,116.355,2.4281,1.8269,1.02973,0.80302,0.38809,0.40189,0.15323,2.48457,2.96818,1.12374,0.008515,0.008515,0.008515
17,125.032,2.48749,1.84111,1.02535,0.80967,0.40245,0.46213,0.19453,2.36168,2.98669,1.07433,0.008416,0.008416,0.008416
18,134.745,2.41794,1.8076,1.0299,0.69698,0.44255,0.47945,0.17602,2.3935,1.99829,1.0444,0.008317,0.008317,0.008317
19,143.026,2.43759,1.78271,1.02222,0.84826,0.31331,0.42012,0.14652,2.3736,2.38084,1.04454,0.008218,0.008218,0.008218
20,151.638,2.46473,1.74859,1.04759,0.38423,0.34812,0.37859,0.12664,2.56281,1.91616,1.07784,0.008119,0.008119,0.008119
21,159.599,2.45104,1.76854,1.04532,0.84586,0.42217,0.52035,0.19306,2.26861,1.72495,1.01443,0.00802,0.00802,0.00802
22,168.43,2.35836,1.62938,1.02378,0.904,0.41238,0.50644,0.19166,2.26449,2.21384,1.02038,0.007921,0.007921,0.007921
23,177.399,2.34728,1.66814,1.02735,0.75055,0.35606,0.47116,0.18374,2.36889,3.72619,1.06126,0.007822,0.007822,0.007822
24,185.994,2.37235,1.7809,1.0236,0.84609,0.38573,0.4967,0.18058,2.31004,1.67437,1.02255,0.007723,0.007723,0.007723
25,194.822,2.31511,1.62945,1.00162,0.47427,0.6177,0.60966,0.25926,2.04601,1.46208,0.97511,0.007624,0.007624,0.007624
26,203.405,2.32319,1.6071,1.01427,0.65069,0.63903,0.62584,0.25424,2.12549,1.39318,0.99462,0.007525,0.007525,0.007525
27,212.527,2.28809,1.66029,1.00501,0.60349,0.64673,0.6504,0.22539,2.25159,1.40082,1.01218,0.007426,0.007426,0.007426
28,223.93,2.3508,1.62556,1.03876,0.71291,0.4725,0.57264,0.21162,2.21866,1.53948,1.00521,0.007327,0.007327,0.007327
29,234.287,2.20513,1.50689,1.00783,0.67178,0.53522,0.58122,0.19162,2.40526,1.65341,1.04264,0.007228,0.007228,0.007228
30,243.536,2.24563,1.52519,0.99331,0.63178,0.60671,0.59914,0.18975,2.56784,1.62941,1.06586,0.007129,0.007129,0.007129
31,252.874,2.18435,1.46995,0.98559,0.56945,0.70071,0.69284,0.29135,2.09039,1.53566,0.99396,0.00703,0.00703,0.00703
32,261.238,2.17698,1.45028,0.98927,0.68975,0.64574,0.67862,0.24384,2.15779,1.4073,0.98764,0.006931,0.006931,0.006931
33,267.282,2.19602,1.42779,0.9846,0.69473,0.66972,0.66543,0.27746,2.09797,1.33326,0.98517,0.006832,0.006832,0.006832
34,273.471,2.17852,1.40385,0.96608,0.64515,0.64043,0.66901,0.25639,2.147,1.34965,0.99153,0.006733,0.006733,0.006733
35,279.572,2.0811,1.32293,0.96546,0.60571,0.6987,0.71634,0.28028,2.08583,1.25377,0.98431,0.006634,0.006634,0.006634
36,286.752,2.14269,1.34907,0.99346,0.67752,0.65766,0.68044,0.26977,2.17498,1.37267,0.99631,0.006535,0.006535,0.006535
37,295.496,2.15332,1.36046,0.96638,0.6685,0.56168,0.58832,0.22333,2.17841,1.52573,0.99377,0.006436,0.006436,0.006436
38,301.73,2.22036,1.41719,0.97669,0.56532,0.61864,0.5989,0.22267,2.07863,2.37309,0.9895,0.006337,0.006337,0.006337
39,307.461,2.12657,1.39123,0.97962,0.7015,0.67174,0.74237,0.31578,1.97521,1.26817,0.96721,0.006238,0.006238,0.006238
40,313.248,2.05222,1.29738,0.96612,0.76574,0.75333,0.79643,0.31539,2.03287,1.14322,0.97556,0.006139,0.006139,0.006139
41,318.992,2.07088,1.34801,0.95419,0.68996,0.73502,0.78972,0.32348,1.99035,1.194,0.96488,0.00604,0.00604,0.00604
42,325.923,2.09018,1.25725,0.94722,0.76481,0.67274,0.74328,0.30392,2.03648,1.33476,0.97792,0.005941,0.005941,0.005941
43,332.566,2.176,1.31277,0.96428,0.79221,0.69215,0.73075,0.28276,2.21781,1.37482,1.00606,0.005842,0.005842,0.005842
44,338.496,2.09029,1.22949,0.97902,0.7286,0.72408,0.75765,0.28984,2.14277,1.19783,0.99514,0.005743,0.005743,0.005743
45,344.215,2.03884,1.22842,0.9592,0.8886,0.77184,0.84747,0.3659,1.93458,1.03275,0.95582,0.005644,0.005644,0.005644
