epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.5444,3.62019,6.30825,1.49996,0,0,0,0,nan,nan,nan,0.00327869,0.00327869,0.00327869
2,51.4597,3.04133,3.15545,1.21188,0,0,0,0,nan,nan,nan,0.00654656,0.00654656,0.00654656
3,76.2372,2.83916,2.89025,1.1575,0.09753,0.0697,0.03442,0.01065,nan,nan,nan,0.00974844,0.00974844,0.00974844
4,101.288,2.66853,2.50617,1.11357,0.40632,0.4057,0.41124,0.1502,2.50912,3.00843,1.12145,0.009703,0.009703,0.009703
5,125.539,2.61576,2.32435,1.10652,0.36698,0.27928,0.25829,0.08802,nan,nan,nan,0.009604,0.009604,0.009604
6,149.12,2.46568,2.14795,1.07163,0.5696,0.54466,0.55534,0.20893,2.26607,1.83641,1.03922,0.009505,0.009505,0.009505
7,165.641,2.42362,2.07077,1.06287,0.52997,0.50725,0.4482,0.12938,2.6786,1.84432,1.10797,0.009406,0.009406,0.009406
8,181.851,2.35757,1.89377,1.05674,0.51451,0.62422,0.60411,0.22118,2.21307,2.07875,1.01275,0.009307,0.009307,0.009307
9,197.656,2.33535,1.8197,1.04738,0.6258,0.57471,0.63632,0.21672,2.29402,1.52525,1.02973,0.009208,0.009208,0.009208
10,213.272,2.24486,1.75803,1.03661,0.72613,0.69127,0.73618,0.27452,2.1498,1.35722,0.99817,0.009109,0.009109,0.009109
11,229.194,2.22141,1.67708,1.03224,0.7244,0.62181,0.65642,0.22615,2.21381,1.59136,1.0119,0.00901,0.00901,0.00901
12,245.045,2.24543,1.65941,1.03011,0.62823,0.70112,0.75835,0.28174,2.17557,1.37171,0.99668,0.008911,0.008911,0.008911
13,260.894,2.22511,1.62827,1.02168,0.72815,0.74721,0.76068,0.29392,2.04543,1.2576,0.97715,0.008812,0.008812,0.008812
14,276.935,2.17808,1.59415,1.0133,0.72602,0.57347,0.59417,0.19014,2.41231,1.41876,1.03691,0.008713,0.008713,0.008713
15,295.834,2.17551,1.58714,1.0057,0.66978,0.74987,0.78408,0.31508,2.01621,1.31347,0.96919,0.008614,0.008614,0.008614
16,311.288,2.06664,1.47456,0.97589,0.75294,0.72557,0.77235,0.30128,2.10337,1.32894,0.98265,0.008515,0.008515,0.008515
17,327.008,2.11996,1.48523,0.99245,0.7677,0.77657,0.83631,0.34927,1.97913,1.20148,0.96344,0.008416,0.008416,0.008416
18,342.255,2.07012,1.44914,0.99013,0.83739,0.76884,0.84328,0.37069,1.95594,1.12707,0.96066,0.008317,0.008317,0.008317
19,357.983,2.04631,1.42554,0.98171,0.83003,0.65053,0.71902,0.2644,2.08865,1.19788,0.97252,0.008218,0.008218,0.008218
20,373.937,2.00452,1.34376,0.97966,0.75429,0.75514,0.83431,0.35984,1.93468,1.3706,0.96626,0.008119,0.008119,0.008119
21,389.742,2.03854,1.40711,0.97099,0.90137,0.73628,0.84337,0.37752,1.93204,1.07067,0.95538,0.00802,0.00802,0.00802
22,405.718,2.01447,1.36363,0.9793,0.81005,0.74694,0.79289,0.30204,2.12222,1.13352,0.99361,0.007921,0.007921,0.007921
23,422.763,1.99875,1.32659,0.96773,0.87774,0.78716,0.84683,0.35692,2.00358,1.03742,0.96057,0.007822,0.007822,0.007822
24,438.312,1.96374,1.31751,0.96794,0.8516,0.75407,0.83927,0.37132,1.89679,1.11373,0.95956,0.007723,0.007723,0.007723
